record_id,system_id,system_name,obligation_limb,binding_party,applicability,state,reason,evidence_references,evidence_ids,authority_blocker,responsible_owner,required_next_evidence,proposed_action_id,existing_calendar_action,approval_gate,approval_state
IMP-AI-001-50-1,AI-001,Learner Support Chat,50-1,provider,applies,unresolved,Article 50-1 binds providers. The provider role is undetermined for every system pending a formal determination by Legal and the system owners.,"AI-system register, AI-001 output_type; AI-system register, AI-001 exposed_group; Article 50-1 binding text",FACT-AI-001-output_type FACT-AI-001-exposed_group RULE-50-1,"Whether Article 50(1) binds Quillhaven Academy for this system is a legal determination. The mapping from the register's output_type to this obligation is ours, and the provider role is undetermined. Pending Legal. The provider role is undetermined for every system.",Learner Operations,A formal provider or deployer role determination from Legal and the system owners.,PA-ROLE-ALL,,legal,pending
IMP-AI-002-50-2,AI-002,Admissions Draft Assistant,50-2,provider,applies,unresolved,Article 50-2 binds providers. The provider role is undetermined for every system pending a formal determination by Legal and the system owners.,"AI-system register, AI-002 output_type; AI-system register, AI-002 exposed_group; Article 50-2 binding text",FACT-AI-002-output_type FACT-AI-002-exposed_group RULE-50-2,"Whether Article 50(2) binds Quillhaven Academy for this system is a legal determination. The mapping from the register's output_type to this obligation is ours, and the provider role is undetermined. Pending Legal. The provider role is undetermined for every system.",Admissions,A formal provider or deployer role determination from Legal and the system owners.,PA-ROLE-ALL,ACT-003,legal,pending
IMP-AI-003-50-2,AI-003,Campaign Image Studio,50-2,provider,applies,unresolved,Article 50-2 binds providers. The provider role is undetermined for every system pending a formal determination by Legal and the system owners.,"AI-system register, AI-003 output_type; AI-system register, AI-003 exposed_group; Article 50-2 binding text",FACT-AI-003-output_type FACT-AI-003-exposed_group RULE-50-2,"Whether Article 50(2) binds Quillhaven Academy for this system is a legal determination. The mapping from the register's output_type to this obligation is ours, and the provider role is undetermined. Pending Legal. The provider role is undetermined for every system.",Communications,A formal provider or deployer role determination from Legal and the system owners.,PA-ROLE-ALL,ACT-004,legal,pending
IMP-AI-003-50-4a,AI-003,Campaign Image Studio,50-4a,deployer,undetermined,unresolved,"Applicability of Article 50-4a cannot be determined from the disclosed sources: The register records a synthetic output type, which is a necessary but not a sufficient condition. Whether the content resembles existing persons, objects, places, entities or events is not recorded by any disclosed source. Required next evidence: A description of the generated content and whether it depicts real persons or events, from the system owner.","AI-system register, AI-003 output_type; AI-system register, AI-003 exposed_group; Article 50-4a binding text",FACT-AI-003-output_type FACT-AI-003-exposed_group RULE-50-4a,Whether this system's output constitutes a deep fake within the meaning of Article 50(4) is a legal determination. Pending Legal.,Communications,"A description of the generated content and whether it depicts real persons or events, from the system owner.",PA-AI-003-applicability-50-4a,ACT-004,legal,pending
IMP-AI-004-50-1,AI-004,Pronunciation Coach,50-1,provider,applies,unresolved,Article 50-1 binds providers. The provider role is undetermined for every system pending a formal determination by Legal and the system owners.,"AI-system register, AI-004 output_type; AI-system register, AI-004 exposed_group; Article 50-1 binding text",FACT-AI-004-output_type FACT-AI-004-exposed_group RULE-50-1,"Whether Article 50(1) binds Quillhaven Academy for this system is a legal determination. The mapping from the register's output_type to this obligation is ours, and the provider role is undetermined. Pending Legal. The provider role is undetermined for every system.",Learning Experience,A formal provider or deployer role determination from Legal and the system owners.,PA-ROLE-ALL,ACT-001,legal,pending
IMP-AI-005-50-3,AI-005,Remote Proctor Signal,50-3,deployer,undetermined,unresolved,"Applicability of Article 50-3 cannot be determined from the disclosed sources: The register records output_type classification, which is a necessary but not a sufficient condition. No disclosed source records what the classifier classifies. Required next evidence: The flagging criteria for this system, held by the system owners and outside anything the Compliance and Operations Manager can read.","AI-system register, AI-005 output_type; AI-system register, AI-005 exposed_group; Article 50-3 binding text",FACT-AI-005-output_type FACT-AI-005-exposed_group RULE-50-3,Whether this system is an emotion recognition system or a biometric categorisation system within the meaning of Article 50(3) is a legal determination. Pending Legal.,Assessment Operations,"The flagging criteria for this system, held by the system owners and outside anything the Compliance and Operations Manager can read.",PA-AI-005-applicability-50-3,ACT-005,legal,pending
IMP-AI-006-50-2,AI-006,Staff Summary Assistant,50-2,provider,applies,unresolved,Article 50-2 binds providers. The provider role is undetermined for every system pending a formal determination by Legal and the system owners.,"AI-system register, AI-006 output_type; AI-system register, AI-006 exposed_group; Article 50-2 binding text",FACT-AI-006-output_type FACT-AI-006-exposed_group RULE-50-2,"Whether Article 50(2) binds Quillhaven Academy for this system is a legal determination. The mapping from the register's output_type to this obligation is ours, and the provider role is undetermined. Pending Legal. The provider role is undetermined for every system.",People Operations,A formal provider or deployer role determination from Legal and the system owners.,PA-ROLE-ALL,,legal,pending
IMP-AI-007-50-1,AI-007,Website Guide Avatar,50-1,provider,applies,conflicting,"The AI-system register records evidence_status conflicting for this system. The conflict is recorded, not adjudicated.","AI-system register, AI-007 output_type; AI-system register, AI-007 exposed_group; Article 50-1 binding text; AI-system register, AI-007 evidence_status; incident and evidence register, REC-008",FACT-AI-007-output_type FACT-AI-007-exposed_group RULE-50-1 FACT-AI-007-evidence_status INC-REC-008,"Whether Article 50(1) binds Quillhaven Academy for this system is a legal determination. The mapping from the register's output_type to this obligation is ours, and the provider role is undetermined. Pending Legal. The provider role is undetermined for every system.",Marketing,Complete and uncontested evidence of the disclosure practice for this system.,PA-AI-007-reconcile-50-1,ACT-002,operations,pending
IMP-AI-008-50-2,AI-008,Video Localisation Tool,50-2,provider,applies,unresolved,Article 50-2 binds providers. The provider role is undetermined for every system pending a formal determination by Legal and the system owners.,"AI-system register, AI-008 output_type; AI-system register, AI-008 exposed_group; Article 50-2 binding text",FACT-AI-008-output_type FACT-AI-008-exposed_group RULE-50-2,"Whether Article 50(2) binds Quillhaven Academy for this system is a legal determination. The mapping from the register's output_type to this obligation is ours, and the provider role is undetermined. Pending Legal. The provider role is undetermined for every system.",Communications,A formal provider or deployer role determination from Legal and the system owners.,PA-ROLE-ALL,"ACT-006, ACT-007",legal,pending
IMP-AI-008-50-4a,AI-008,Video Localisation Tool,50-4a,deployer,undetermined,unresolved,"Applicability of Article 50-4a cannot be determined from the disclosed sources: The register records a synthetic output type, which is a necessary but not a sufficient condition. Whether the content resembles existing persons, objects, places, entities or events is not recorded by any disclosed source. Required next evidence: A description of the generated content and whether it depicts real persons or events, from the system owner.","AI-system register, AI-008 output_type; AI-system register, AI-008 exposed_group; Article 50-4a binding text",FACT-AI-008-output_type FACT-AI-008-exposed_group RULE-50-4a,Whether this system's output constitutes a deep fake within the meaning of Article 50(4) is a legal determination. Pending Legal.,Communications,"A description of the generated content and whether it depicts real persons or events, from the system owner.",PA-AI-008-applicability-50-4a,"ACT-006, ACT-007",legal,pending
